,pep1,pep2,pep3,pep4,pep1_2,pep2_2,pep3_2,pep4_2,pep1_indiv,pep2_indiv,pep3_indiv,pep4_indiv,pep5_indiv,pep6_indiv,pep7_indiv,pep8_indiv,pep1_2_indiv,pep2_2_indiv,pep3_2_indiv,pep4_2_indiv,pep5_2_indiv,pep6_2_indiv,pep7_2_indiv,pep8_2_indiv
174,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
175,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,6,7
176,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,6,7
177,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
178,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
179,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
180,7,10,11,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
181,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
182,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
183,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
184,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
185,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
186,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
187,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,5
188,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,5
189,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
190,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
191,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,7,7,12,7
